Date,Open,High,Low,Close,Volume,Adj Close
2005-06-03,120.550003,120.889999,119.730003,120.150002,60999400,96.04818
2005-06-02,120.230003,120.839996,120.099998,120.760002,39704500,96.535816
2005-06-01,119.519997,120.919998,119.449997,120.50,69611000,96.32797
2005-05-31,120.080002,120.169998,119.400002,119.480003,43377200,95.512582
2005-05-27,120.059998,120.25,119.800003,120.25,24596100,96.128119
2005-05-26,119.790001,120.209999,119.620003,120.050003,43256200,95.968241
2005-05-25,119.349998,119.870003,118.830002,119.410004,47608800,95.456624
2005-05-24,119.440002,119.830002,119.199997,119.50,50654100,95.528567
2005-05-23,119.209999,120.040001,119.190002,119.779999,51047900,95.752399
2005-05-20,119.339996,119.389999,118.739998,119.120003,46345500,95.224797
2005-05-19,119.019997,119.410004,118.699997,119.290001,61768100,95.360694
2005-05-18,118.089996,119.080002,118.010002,118.790001,77944900,94.960992
2005-05-17,116.410004,117.699997,116.160004,117.580002,61071800,93.993716
2005-05-16,115.699997,116.839996,115.660004,116.800003,49207000,93.370184
2005-05-13,116.300003,116.620003,114.800003,115.720001,85267000,92.506828
2005-05-12,117.32,117.589996,115.949997,115.949997,95086800,92.690687
2005-05-11,116.93,117.400002,115.849998,117.239998,91647400,93.721917
2005-05-10,117.360001,117.50,116.389999,116.599998,74613500,93.2103
2005-05-09,117.209999,118.080002,117.050003,117.82,43750500,94.185571
2005-05-06,117.93,117.989998,117.059998,117.089996,67415400,93.602005
2005-05-05,117.669998,118.00,116.739998,117.459999,96906700,93.897786
2005-05-04,116.650002,117.75,116.279999,117.50,81055700,93.929763
2005-05-03,116.07,116.849998,115.690002,116.599998,86000300,93.2103
2005-05-02,116.07,116.410004,115.519997,116.400002,56026400,93.050422
2005-04-29,115.07,115.870003,113.970001,115.75,103993800,92.530809
2005-04-28,115.269997,115.68,114.199997,114.199997,72481500,91.291733
2005-04-27,114.860001,116.07,114.440002,115.650002,84131900,92.45087
2005-04-26,115.959999,116.769997,115.150002,115.199997,72626000,92.091135
2005-04-25,115.860001,116.50,115.720001,116.330002,52284100,92.994464
2005-04-22,115.739998,116.50,114.269997,115.57,88845800,92.386916
2005-04-21,114.790001,116.209999,114.379997,116.010002,86952200,92.738655
